ticket_id,perfil_real,perfil_conducta
TK-000001,Solicitudes rutinarias,Solicitudes rutinarias
TK-000002,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000003,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000004,Solicitudes rutinarias,Solicitudes rutinarias
TK-000005,Solicitudes rutinarias,Solicitudes rutinarias
TK-000006,Solicitudes rutinarias,Fallas de hardware
TK-000007,Solicitudes rutinarias,Solicitudes rutinarias
TK-000008,Solicitudes rutinarias,Solicitudes rutinarias
TK-000009,Errores recurrentes de software/ERP,Solicitudes rutinarias
TK-000010,Fallas de hardware,Fallas de hardware
TK-000011,Errores recurrentes de software/ERP,Casos crónicos
TK-000012,Solicitudes rutinarias,Solicitudes rutinarias
TK-000013,Incidentes críticos de red,Incidentes críticos de red
TK-000014,Solicitudes rutinarias,Solicitudes rutinarias
TK-000015,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000016,Errores recurrentes de software/ERP,Solicitudes rutinarias
TK-000017,Solicitudes rutinarias,Errores recurrentes de software/ERP
TK-000018,Solicitudes rutinarias,Solicitudes rutinarias
TK-000019,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000020,Solicitudes rutinarias,Solicitudes rutinarias
TK-000021,Solicitudes rutinarias,Solicitudes rutinarias
TK-000022,Fallas de hardware,Fallas de hardware
TK-000023,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000024,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000025,Incidentes críticos de red,Incidentes de seguridad
TK-000026,Fallas de hardware,Fallas de hardware
TK-000027,Fallas de hardware,Fallas de hardware
TK-000028,Solicitudes rutinarias,Fallas de hardware
TK-000029,Fallas de hardware,Fallas de hardware
TK-000030,Solicitudes rutinarias,Solicitudes rutinarias
TK-000031,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000032,Fallas de hardware,Fallas de hardware
TK-000033,Solicitudes rutinarias,Solicitudes rutinarias
TK-000034,Fallas de hardware,Fallas de hardware
TK-000035,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000036,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000037,Solicitudes rutinarias,Solicitudes rutinarias
TK-000038,Solicitudes rutinarias,Solicitudes rutinarias
TK-000039,Solicitudes rutinarias,Solicitudes rutinarias
TK-000040,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000041,Solicitudes rutinarias,Solicitudes rutinarias
TK-000042,Fallas de hardware,Fallas de hardware
TK-000043,Solicitudes rutinarias,Solicitudes rutinarias
TK-000044,Errores recurrentes de software/ERP,Casos crónicos
TK-000045,Solicitudes rutinarias,Solicitudes rutinarias
TK-000046,Solicitudes rutinarias,Fallas de hardware
TK-000047,Solicitudes rutinarias,Solicitudes rutinarias
TK-000048,Fallas de hardware,Fallas de hardware
TK-000049,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000050,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000051,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000052,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000053,Solicitudes rutinarias,Solicitudes rutinarias
TK-000054,Solicitudes rutinarias,Solicitudes rutinarias
TK-000055,Incidentes críticos de red,Incidentes críticos de red
TK-000056,Incidentes de seguridad,Incidentes de seguridad
TK-000057,Incidentes críticos de red,Incidentes críticos de red
TK-000058,Incidentes críticos de red,Incidentes críticos de red
TK-000059,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000060,Solicitudes rutinarias,Fallas de hardware
TK-000061,Solicitudes rutinarias,Solicitudes rutinarias
TK-000062,Solicitudes rutinarias,Solicitudes rutinarias
TK-000063,Fallas de hardware,Errores recurrentes de software/ERP
TK-000064,Solicitudes rutinarias,Fallas de hardware
TK-000065,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000066,Solicitudes rutinarias,Solicitudes rutinarias
TK-000067,Solicitudes rutinarias,Solicitudes rutinarias
TK-000068,Solicitudes rutinarias,Solicitudes rutinarias
TK-000069,Solicitudes rutinarias,Solicitudes rutinarias
TK-000070,Solicitudes rutinarias,Solicitudes rutinarias
TK-000071,Solicitudes rutinarias,Solicitudes rutinarias
TK-000072,Solicitudes rutinarias,Solicitudes rutinarias
TK-000073,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000074,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000075,Solicitudes rutinarias,Solicitudes rutinarias
TK-000076,Fallas de hardware,Fallas de hardware
TK-000077,Solicitudes rutinarias,Solicitudes rutinarias
TK-000078,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000079,Solicitudes rutinarias,Solicitudes rutinarias
TK-000080,Fallas de hardware,Fallas de hardware
TK-000081,Solicitudes rutinarias,Solicitudes rutinarias
TK-000082,Fallas de hardware,Fallas de hardware
TK-000083,Fallas de hardware,Solicitudes rutinarias
TK-000084,Incidentes de seguridad,Incidentes de seguridad
TK-000085,Solicitudes rutinarias,Solicitudes rutinarias
TK-000086,Errores recurrentes de software/ERP,Errores recurrentes de software/ERP
TK-000087,Solicitudes rutinarias,Solicitudes rutinarias
TK-000088,Solicitudes rutinarias,Solicitudes rutinarias
TK-000089,Fallas de hardware,Solicitudes rutinarias
TK-000090,Solicitudes rutinarias,Solicitudes rutinarias
TK-000091,Solicitudes rutinarias,Fallas de hardware
TK-000092,Solicitudes rutinarias,Solicitudes rutinarias
TK-000093,Solicitudes rutinarias,Solicitudes rutinarias
TK-000094,Incidentes críticos de red,Incidentes críticos de red
TK-000095,Solicitudes rutinarias,Solicitudes rutinarias
TK-000096,Fallas de hardware,Fallas de hardware
TK-000097,Solicitudes rutinarias,Solicitudes rutinarias
TK-000098,Solicitudes rutinarias,Solicitudes rutinarias
TK-000099,Solicitudes rutinarias,Solicitudes rutinarias
TK-000100,Solicitudes rutinarias,Errores recurrentes de software/ERP
TK-000101,Solicitudes rutinarias,Solicitudes rutinarias
TK-000102,Solicitudes rutinarias,Solicitudes rutinarias
TK-000103,Fallas de hardware,Fallas de hardware
TK-000104,Solicitudes rutinarias,Solicitudes rutinarias
TK-000105,Solicitudes rutinarias,Errores recurrentes de software/ERP
TK-000106,Solicitudes rutinarias,Solicitudes rutinarias
TK-000107,Fallas de hardware,Fallas de hardware
TK-000108,Fallas de hardware,Fallas de hardware
TK-000109,Solicitudes rutinarias,Solicitudes rutinarias
TK-000110,Solicitudes rutinarias,Solicitudes rutinarias
TK-000111,Incidentes críticos de red,Incidentes críticos de red
