ticket_id,prioridad_num,usuarios_afectados,nivel_soporte_final,tickets_abiertos_tecnico,num_reasignaciones,tiempo_primera_respuesta_min,tiempo_resolucion_horas,num_reaperturas,costo_resolucion_usd,sla_cumplido,satisfaccion_cliente,canal_ingreso_Chat,canal_ingreso_Correo Electrónico,canal_ingreso_Desconocido,canal_ingreso_Llamada Telefónica,canal_ingreso_Portal Web,canal_ingreso_Presencial,departamento_solicitante_Atención al Cliente,departamento_solicitante_Finanzas,departamento_solicitante_Legal,departamento_solicitante_Marketing,departamento_solicitante_Operaciones,departamento_solicitante_Recursos Humanos,departamento_solicitante_TI,departamento_solicitante_Ventas,ubicacion_usuario_Desconocido,ubicacion_usuario_Remoto,ubicacion_usuario_Sede Central,ubicacion_usuario_Sucursal Norte,ubicacion_usuario_Sucursal Sur,categoria_Accesos y Contraseñas,categoria_Correo y Office 365,categoria_ERP,categoria_Hardware,categoria_Impresoras,categoria_Redes,categoria_Seguridad,categoria_Software,tecnico_asignado_Ana Torres,tecnico_asignado_Andrés Gómez,tecnico_asignado_Carlos Ruiz,tecnico_asignado_Elena Díaz,tecnico_asignado_Jorge Soto,tecnico_asignado_Luis Pérez,tecnico_asignado_María López,tecnico_asignado_Sofía Vargas
TK-000001,-1.2067643953736404,-0.6025405242859445,0.6178575850541936,0.8654088585686587,0.3508930136631898,1.5348032339171818,-1.1459920274799371,-0.38584411672216956,-0.5612169489458464,0.5883850724596785,0.9141809010919673,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TK-000002,1.9717195257158426,-0.6025405242859445,1.9985449259574197,-1.1880804839180736,0.3508930136631898,-2.147450963156354,0.2752337210566644,-0.38584411672216956,0.4632876217854397,-1.6995672507795123,-0.2370596082063437,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
TK-000003,-0.1472697550104794,0.19339005723519906,0.6178575850541936,0.8654088585686587,-0.6111166194092976,0.13957858773591453,-0.3209782483234699,-0.38584411672216956,-0.2983249087060627,0.5883850724596785,0.9141809010919673,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
TK-000004,0.9122248853526816,-0.6025405242859445,0.6178575850541936,1.892153529812025,-0.6111166194092976,-0.705378787997767,-0.6861164980728159,-0.38584411672216956,-0.5178293727125173,0.5883850724596785,0.9141809010919673,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TK-000005,-0.1472697550104794,-0.6025405242859445,-0.7628297558490323,-0.9827315496694004,-0.6111166194092976,-0.2919784027780851,-1.653476749459325,-0.38584411672216956,-1.1900393283148274,0.5883850724596785,0.9141809010919673,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TK-000006,-0.1472697550104794,-0.6025405242859445,1.9985449259574197,-1.1880804839180736,-0.6111166194092976,-0.8701065708254155,1.8992888456936672,-0.38584411672216956,1.5922638657236567,-1.6995672507795123,-0.2370596082063437,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TK-000007,-0.1472697550104794,-0.6025405242859445,-0.7628297558490323,-0.7773826154207271,-0.6111166194092976,0.967725700735098,-1.1573028874197082,-0.38584411672216956,-1.1900393283148274,0.5883850724596785,-0.2370596082063437,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TK-000008,-1.2067643953736404,-0.1369509809188924,-0.7628297558490323,-1.59877835241542,-0.6111166194092976,0.5622171584781026,-1.138522369734283,-0.38584411672216956,-1.1900393283148274,0.5883850724596785,0.9141809010919673,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TK-000009,-0.1472697550104794,-0.6025405242859445,-0.7628297558490323,1.892153529812025,-0.6111166194092976,0.5690186768680805,-0.6790623160088826,-0.38584411672216956,-1.1900393283148274,0.5883850724596785,-0.2370596082063437,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
TK-000010,0.9122248853526816,-0.6025405242859445,0.6178575850541936,1.4814556613146783,-0.6111166194092976,-0.6850258112437986,0.8728301232931642,-0.38584411672216956,0.9007948836176358,-1.6995672507795123,-0.2370596082063437,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
