prioridad,tiempo_resolucion_horas,reaperturas_contador,costo_reparacion_usd,satisfaccion_cliente,encuesta_respondida,carga_tecnico,ticket_reabierto,costo_por_hora_resolucion,canal_ingreso_Correo Electrónico,canal_ingreso_Llamada Telefónica,canal_ingreso_Portal Web,canal_ingreso_Presencial,departamento_solicitante_Legal,departamento_solicitante_Marketing,departamento_solicitante_Operaciones,departamento_solicitante_Recursos Humanos,departamento_solicitante_TI,departamento_solicitante_Ventas,ubicacion_usuario_Remoto,ubicacion_usuario_Sede Central,ubicacion_usuario_Sucursal Norte,ubicacion_usuario_Sucursal Sur,categoria_ERP,categoria_Hardware,categoria_Impresoras,categoria_Redes,categoria_Seguridad,categoria_Software,subcategoria_Contraseña,subcategoria_Disco Duro,subcategoria_ERP Login,subcategoria_Office 365,subcategoria_Pantalla,subcategoria_VPN,subcategoria_Wi-Fi,tecnico_asignado_Carlos Ruiz,tecnico_asignado_Elena Diaz,tecnico_asignado_Jorge Soto,tecnico_asignado_Luis Perez,tecnico_asignado_Maria Lopez,franja_horaria_ingreso_Mañana,franja_horaria_ingreso_Noche,franja_horaria_ingreso_Tarde,dia_semana_ingreso_Jueves,dia_semana_ingreso_Lunes,dia_semana_ingreso_Martes,dia_semana_ingreso_Miércoles,dia_semana_ingreso_Sábado,dia_semana_ingreso_Viernes,rango_tiempo_resolucion_Normal,rango_tiempo_resolucion_Lento,rango_tiempo_resolucion_Crítico,sla_cumplido
1.0,-0.1257705492875074,0,-0.3342577012084097,1.3059845719078267,1,-0.320283784426254,0,-0.11301881704503794,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0.0,0.21218144123041421,1,-0.2640030166711644,-2.217939638936468,1,-0.7020322854952114,1,-0.11706061158687482,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
3.0,-0.8316702691267164,1,-0.7642235516343963,1.3059845719078267,1,-0.320283784426254,1,-0.08853374286405502,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.0,2.4798592947648697,1,1.3215147574466528,0.425003519196753,1,-0.320283784426254,1,-0.12072751504077323,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
3.0,-0.3634034578075056,0,0.41149517673294644,1.3059845719078267,1,1.1430854696714159,0,-0.09493032205200559,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
3.0,-1.1269616533465177,1,-0.12935817833317279,-2.217939638936468,1,1.4612092205622138,1,0.7684438534703465,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2.0,-0.2977461184268049,0,0.14908734734979406,-0.45597753351432074,1,-0.320283784426254,0,-0.10179551509987926,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
3.0,-0.3484055884058226,0,0.7762929254033453,1.3059845719078267,1,-1.465529287633126,0,-0.08969356216736475,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
3.0,-0.8496677124087358,0,0.1915154319638544,1.3059845719078267,1,1.4612092205622138,0,-0.04463633953575697,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2.0,0.8314268045265664,1,-0.05353817381128995,0.425003519196753,1,-0.320283784426254,1,-0.12035262395283473,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
